	continent	region	country	population
6	AFRICA	NORTHERN AFRICA	Western Sahara	0.6
31	AFRICA	EAST AFRICA	Mauritius	1.3
32	AFRICA	EAST AFRICA	Mayotte	0.3
34	AFRICA	EAST AFRICA	Reunion	0.9
51	AFRICA	MIDDLE AFRICA	Sao Tome and Principe	0.2
53	AFRICA	SOUTHERN AFRICA	eSwatini	1.2
57	NORTHERN AMERICA	NORTHERN AMERICA	Canada	38.8
58	NORTHERN AMERICA	NORTHERN AMERICA	United States	332.8
71	LATIN AMERICA AND THE CARIBBEAN	CARIBBEAN	Curacao	0.1
75	LATIN AMERICA AND THE CARIBBEAN	CARIBBEAN	Guadeloupe	0.4
78	LATIN AMERICA AND THE CARIBBEAN	CARIBBEAN	Martinique	0.3
79	LATIN AMERICA AND THE CARIBBEAN	CARIBBEAN	Puerto Rico	3.2
90	SOUTH AMERICA	SOUTH AMERICA	French Guiana	0.3
129	ASIA	SOUTHEAST ASIA	Brunei	0.4
135	ASIA	SOUTHEAST ASIA	Philippines	115.6
141	ASIA	EAST ASIA	China,  Hong Kong SAR	7.4
142	ASIA	EAST ASIA	China,  Macao SAR	0.7
152	EUROPE	NORTHERN EUROPE	Ireland	5.1
157	EUROPE	NORTHERN EUROPE	United Kingdom	67.6
192	OCEANIA	OCEANIA	Australia	25.8
195	OCEANIA	OCEANIA	French Polynesia	0.3
196	OCEANIA	OCEANIA	Guam	0.2
197	OCEANIA	OCEANIA	Kiribati	0.1
200	OCEANIA	OCEANIA	New Caledonia	0.3
201	OCEANIA	OCEANIA	New Zealand	5.1
